,Item_Fat_Content,Item_MRP,Item_Outlet_Sales,Item_Type_Category,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type
37,Regular,122.5388,1609.9044,Drinks,0.113123893,8.85,2009,OUT018,Tier 3,Medium,Supermarket Type2
38,Regular,36.9874,388.1614,FOOD,0.12311145300000001,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
39,Low Fat,87.6198,2180.495,FOOD,0.026480953999999998,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
40,Low Fat,230.6352,3435.528,FOOD,0.102511504,13.35,1997,OUT046,Tier 1,Small,Supermarket Type1
41,Low Fat,126.00200000000001,2150.534,FOOD,0.02681843,9.8,1987,OUT013,Tier 3,High,Supermarket Type1
42,Low Fat,192.9136,2527.3768,FOOD,0.117818348,13.6,1999,OUT049,Tier 1,Medium,Supermarket Type1
43,Low Fat,259.9278,6768.5228,FOOD,0.06910283099999999,21.35,2009,OUT018,Tier 3,Medium,Supermarket Type2
44,Regular,126.5046,373.5138,FOOD,0.042277867000000004,12.15,1987,OUT013,Tier 3,High,Supermarket Type1
45,Low Fat,178.1002,358.2004,FOOD,0.08949892599999999,6.42,1998,OUT010,Tier 3,Medium,Grocery Store
46,Low Fat,153.3024,2428.8384,Non-Consumable,0.06595278007399345,19.6,2002,OUT045,Tier 2,Medium,Supermarket Type1
47,Low Fat,265.2226,5815.0972,FOOD,0.025879577,10.0,2002,OUT045,Tier 2,Medium,Supermarket Type1
48,Regular,60.622,2576.646,FOOD,0.121632721,15.85,1997,OUT046,Tier 1,Small,Supermarket Type1
49,Regular,196.8794,780.3176,FOOD,0.25539489600000004,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
50,Low Fat,143.8812,3134.5864,Non-Consumable,0.067779712,7.39,1997,OUT046,Tier 1,Small,Supermarket Type1
51,Low Fat,141.5154,850.8924,FOOD,0.159803853,10.195,1987,OUT013,Tier 3,High,Supermarket Type1
52,Regular,117.0492,810.9444,FOOD,0.028696932,9.895,1987,OUT013,Tier 3,High,Supermarket Type1
53,Low Fat,196.3794,3121.2704,FOOD,0.065041581,10.895,2007,OUT017,Tier 2,Medium,Supermarket Type1
54,Low Fat,151.4708,4815.0656,Non-Consumable,0.028760012999999997,12.15,2007,OUT017,Tier 2,Medium,Supermarket Type1
55,Low Fat,249.0408,6258.52,FOOD,0.010053105,7.905,2009,OUT018,Tier 3,Medium,Supermarket Type2
56,Low Fat,106.1622,2117.244,Non-Consumable,0.048157338,9.195,2002,OUT045,Tier 2,Medium,Supermarket Type1
57,Low Fat,38.0506,796.9626,Drinks,0.071958197,8.365,1999,OUT049,Tier 1,Medium,Supermarket Type1
58,Low Fat,194.511,4910.275,FOOD,0.17348130399999998,15.1,1997,OUT046,Tier 1,Small,Supermarket Type1
59,Low Fat,180.0344,892.172,FOOD,0.061082177,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
60,Low Fat,246.9144,3185.1872,FOOD,0.06595278007399345,10.0,2009,OUT018,Tier 3,Medium,Supermarket Type2
61,Regular,87.3514,1062.6168,FOOD,0.040071131,7.97,2002,OUT045,Tier 2,Medium,Supermarket Type1
62,Low Fat,38.2848,484.7024,FOOD,0.012090074,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
63,Regular,51.0692,147.8076,FOOD,0.15028599,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
64,Low Fat,255.8356,2543.356,FOOD,0.026015518999999997,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
65,Low Fat,185.4266,184.4266,FOOD,0.195068226,17.7,1998,OUT010,Tier 3,Medium,Grocery Store
66,Low Fat,172.5738,4865.6664,FOOD,0.033082215,19.35,2004,OUT035,Tier 2,Small,Supermarket Type1
67,Regular,186.024,1118.5439999999999,FOOD,0.078946455,13.65,2002,OUT045,Tier 2,Medium,Supermarket Type1
68,Low Fat,164.8526,2302.3364,Drinks,0.041700756,17.6,2002,OUT045,Tier 2,Medium,Supermarket Type1
69,Low Fat,95.84100000000001,2027.361,Non-Consumable,0.14342264300000002,8.645,1997,OUT046,Tier 1,Small,Supermarket Type1
70,Regular,170.1764,3435.528,FOOD,0.10529607199999999,15.6,1997,OUT046,Tier 1,Small,Supermarket Type1
71,Regular,59.222,599.22,FOOD,0.121531501,15.85,1987,OUT013,Tier 3,High,Supermarket Type1
72,Low Fat,164.7526,4604.6728,FOOD,0.06595278007399345,18.25,2002,OUT045,Tier 2,Medium,Supermarket Type1
73,Low Fat,189.6188,2285.0256,FOOD,0.011324862,7.855,2007,OUT017,Tier 2,Medium,Supermarket Type1
74,Low Fat,254.3698,5580.7356,Non-Consumable,0.186357148,7.825,1999,OUT049,Tier 1,Medium,Supermarket Type1
75,Regular,114.0176,2290.3520000000003,FOOD,0.024205661,8.39,1997,OUT046,Tier 1,Small,Supermarket Type1
76,Low Fat,172.3422,1207.0954,FOOD,0.033230816,12.85,1999,OUT049,Tier 1,Medium,Supermarket Type1
77,Low Fat,89.9804,643.1628,FOOD,0.113720344,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
78,Low Fat,104.9622,1587.933,FOOD,0.11255650699999999,19.0,2007,OUT017,Tier 2,Medium,Supermarket Type1
79,Low Fat,222.5456,5305.0944,FOOD,0.06595278007399345,5.905,2002,OUT045,Tier 2,Medium,Supermarket Type1
80,Low Fat,101.87,1697.79,FOOD,0.05935224099999999,7.76,1997,OUT046,Tier 1,Small,Supermarket Type1
81,Regular,180.3344,1427.4752,FOOD,0.014087057,11.8,1997,OUT046,Tier 1,Small,Supermarket Type1
82,Low Fat,187.9556,4693.89,FOOD,0.045230944,16.75,2009,OUT018,Tier 3,Medium,Supermarket Type2
83,Low Fat,194.6136,583.2408,Non-Consumable,0.293417759,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
84,Regular,171.3764,3091.9752,FOOD,0.031382044,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
85,Regular,177.0028,2479.4392,FOOD,0.12639886,15.5,2007,OUT017,Tier 2,Medium,Supermarket Type1
86,Low Fat,160.99200000000002,2716.4640000000004,FOOD,0.025403897999999998,6.055,2004,OUT035,Tier 2,Small,Supermarket Type1
87,Regular,155.963,3285.723,FOOD,0.039057677,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
88,Regular,95.6436,661.8052,FOOD,0.123115764,6.305,1997,OUT046,Tier 1,Small,Supermarket Type1
89,Low Fat,117.2808,1523.3504,FOOD,0.039624006,20.85,1999,OUT049,Tier 1,Medium,Supermarket Type1
90,Low Fat,122.17299999999999,369.519,FOOD,0.040421193,20.75,1998,OUT010,Tier 3,Medium,Grocery Store
91,Low Fat,39.9138,690.4346,Drinks,0.10527411099999999,8.895,1999,OUT049,Tier 1,Medium,Supermarket Type1
92,Low Fat,55.1614,1381.535,Drinks,0.033970195,19.6,2002,OUT045,Tier 2,Medium,Supermarket Type1
93,Low Fat,57.893,622.523,FOOD,0.053212652,19.7,2004,OUT035,Tier 2,Small,Supermarket Type1
94,Low Fat,114.5492,1274.3412,Non-Consumable,0.024378706,9.8,2004,OUT035,Tier 2,Small,Supermarket Type1
95,Low Fat,120.0414,487.3656,FOOD,0.009714595,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
96,Low Fat,246.046,1231.73,FOOD,0.131383762,12.15,1999,OUT049,Tier 1,Medium,Supermarket Type1
97,Regular,187.4556,3755.112,FOOD,0.07461309,8.75,2004,OUT035,Tier 2,Small,Supermarket Type1
98,Low Fat,149.9708,4363.6532,Non-Consumable,0.028459761,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
99,Regular,187.8556,1314.2892,FOOD,0.07462720099999999,8.75,1997,OUT046,Tier 1,Small,Supermarket Type1
100,Low Fat,151.0708,1805.6496,FOOD,0.063695084,13.3,2002,OUT045,Tier 2,Medium,Supermarket Type1
101,Regular,178.5344,2854.9504,FOOD,0.045797829000000005,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
102,Regular,179.1028,3896.2616,FOOD,0.11585722300000001,8.31,1999,OUT049,Tier 1,Medium,Supermarket Type1
103,Regular,38.7822,667.7974,Drinks,0.024832806000000002,16.75,1987,OUT013,Tier 3,High,Supermarket Type1
104,Low Fat,212.0902,3185.853,FOOD,0.034027909,19.75,2009,OUT018,Tier 3,Medium,Supermarket Type2
105,Regular,141.1838,2247.7408,FOOD,0.046769599999999995,17.1,1987,OUT013,Tier 3,High,Supermarket Type1
106,Regular,163.121,1794.3310000000001,FOOD,0.11657670199999999,10.5,1987,OUT013,Tier 3,High,Supermarket Type1
107,Regular,121.3098,2530.7058,FOOD,0.06595278007399345,6.635,2002,OUT045,Tier 2,Medium,Supermarket Type1
108,Low Fat,225.372,679.1160000000001,Drinks,0.278974075,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
109,Low Fat,41.4138,812.2760000000001,Drinks,0.035913805,14.15,1987,OUT013,Tier 3,High,Supermarket Type1
110,Low Fat,232.53,699.09,FOOD,0.079806266,13.3,1997,OUT046,Tier 1,Small,Supermarket Type1
111,Low Fat,102.4016,2732.4432,FOOD,0.005505481,8.89,2007,OUT017,Tier 2,Medium,Supermarket Type1
112,Regular,176.937,176.437,FOOD,0.064625342,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
113,Low Fat,121.7098,4097.3332,FOOD,0.071636937,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
114,Regular,173.2054,3151.8972,FOOD,0.06595278007399345,9.1,2002,OUT045,Tier 2,Medium,Supermarket Type1
115,Low Fat,239.0906,5942.265,FOOD,0.032677677999999995,7.5,1999,OUT049,Tier 1,Medium,Supermarket Type1
116,Regular,192.4478,4843.695,FOOD,0.160760054,16.85,2007,OUT017,Tier 2,Medium,Supermarket Type1
117,Low Fat,109.0228,2542.0244,FOOD,0.06911065,7.485,2004,OUT035,Tier 2,Small,Supermarket Type1
118,Low Fat,140.3154,2552.6772,Drinks,0.041177505,11.6,2007,OUT017,Tier 2,Medium,Supermarket Type1
119,Low Fat,227.0694,1141.847,FOOD,0.040081193,11.65,2009,OUT018,Tier 3,Medium,Supermarket Type2
120,Low Fat,47.5034,680.4476,Non-Consumable,0.035307322,13.0,2007,OUT017,Tier 2,Medium,Supermarket Type1
121,Low Fat,159.0578,2085.9514,Drinks,0.063017847,12.65,2002,OUT045,Tier 2,Medium,Supermarket Type1
122,Regular,92.512,186.424,FOOD,0.171938781,20.25,1998,OUT010,Tier 3,Medium,Grocery Store
123,Regular,190.153,3036.048,FOOD,0.040197932,8.6,2004,OUT035,Tier 2,Small,Supermarket Type1
124,Low Fat,62.7194,866.8716,FOOD,0.049058014000000004,12.6,2007,OUT017,Tier 2,Medium,Supermarket Type1
125,Low Fat,95.041,868.8689999999999,FOOD,0.01161096,17.7,2004,OUT035,Tier 2,Small,Supermarket Type1
126,Low Fat,82.4276,1137.1864,Drinks,0.183507295,14.15,1997,OUT046,Tier 1,Small,Supermarket Type1
127,Low Fat,52.7956,928.1252,FOOD,0.102349519,19.25,2007,OUT017,Tier 2,Medium,Supermarket Type1
128,Low Fat,151.7682,762.341,Drinks,0.08670898699999999,8.88,1987,OUT013,Tier 3,High,Supermarket Type1
129,Low Fat,40.2822,707.0796,Non-Consumable,0.032835147,20.5,2002,OUT045,Tier 2,Medium,Supermarket Type1
130,Low Fat,180.5976,7968.2944,FOOD,0.033809913,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
131,Low Fat,160.292,1438.128,Non-Consumable,0.07266912,13.5,1997,OUT046,Tier 1,Small,Supermarket Type1
132,Low Fat,224.4404,6976.2524,Non-Consumable,0.144338493,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
133,Low Fat,101.7016,101.2016,FOOD,0.009163216,8.89,1998,OUT010,Tier 3,Medium,Grocery Store
134,Low Fat,188.5188,952.0939999999999,FOOD,0.011307038,7.855,2009,OUT018,Tier 3,Medium,Supermarket Type2
135,Low Fat,116.0492,1969.4364,Non-Consumable,0.076855628,7.235,1997,OUT046,Tier 1,Small,Supermarket Type1
136,Low Fat,165.4526,5262.4832,FOOD,0.059956876,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
137,Low Fat,60.5852,1314.2892,FOOD,0.038532062,6.92,2002,OUT045,Tier 2,Medium,Supermarket Type1
138,Low Fat,90.8172,535.3032,FOOD,0.043209581,9.3,2007,OUT017,Tier 2,Medium,Supermarket Type1
139,Low Fat,132.1284,263.6568,Non-Consumable,0.056816465,18.5,1998,OUT010,Tier 3,Medium,Grocery Store
140,Low Fat,154.5972,1402.1748,Non-Consumable,0.019866705,8.02,2004,OUT035,Tier 2,Small,Supermarket Type1
141,Low Fat,105.1622,1693.7952,Non-Consumable,0.048331717,9.195,2007,OUT017,Tier 2,Medium,Supermarket Type1
142,Low Fat,105.5938,2143.876,Non-Consumable,0.091221855,12.8,2002,OUT045,Tier 2,Medium,Supermarket Type1
143,Low Fat,177.6344,2676.5159999999996,Non-Consumable,0.027622076000000002,16.6,1999,OUT049,Tier 1,Medium,Supermarket Type1
144,Regular,53.06399999999999,905.488,FOOD,0.06595278007399345,14.0,2004,OUT035,Tier 2,Small,Supermarket Type1
145,Low Fat,246.3802,7370.406,FOOD,0.039355947,18.6,1999,OUT049,Tier 1,Medium,Supermarket Type1
146,Low Fat,226.8404,6301.1312,FOOD,0.060836524,16.0,2004,OUT035,Tier 2,Small,Supermarket Type1
147,Low Fat,160.692,1597.92,Non-Consumable,0.082316506,17.6,2004,OUT035,Tier 2,Small,Supermarket Type1
148,Low Fat,178.237,529.311,FOOD,0.155350299,21.25,2004,OUT035,Tier 2,Small,Supermarket Type1
149,Low Fat,117.5492,1969.4364,Non-Consumable,0.076841095,7.235,2004,OUT035,Tier 2,Small,Supermarket Type1
150,Low Fat,50.3692,1034.6532,Drinks,0.151419185,14.6,2007,OUT017,Tier 2,Medium,Supermarket Type1
151,Regular,161.52100000000002,1794.3310000000001,FOOD,0.026001976,13.85,2009,OUT018,Tier 3,Medium,Supermarket Type2
152,Regular,197.6426,2768.3964,FOOD,0.073209447,13.65,2009,OUT018,Tier 3,Medium,Supermarket Type2
153,Low Fat,31.29,898.83,Drinks,0.041683481,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
154,Low Fat,226.172,3169.208,FOOD,0.042560252,7.365,1997,OUT046,Tier 1,Small,Supermarket Type1
155,Low Fat,223.5746,3589.9936,Non-Consumable,0.014081156000000001,18.35,2009,OUT018,Tier 3,Medium,Supermarket Type2
156,Regular,132.5626,262.3252,FOOD,0.06595278007399345,5.465,2009,OUT018,Tier 3,Medium,Supermarket Type2
157,Low Fat,99.8358,1910.1802,FOOD,0.152918384,18.6,2007,OUT017,Tier 2,Medium,Supermarket Type1
158,Low Fat,140.9154,1701.7848,Drinks,0.030969273999999998,13.85,2007,OUT017,Tier 2,Medium,Supermarket Type1
159,Regular,154.5656,2471.4496,FOOD,0.06037677599999999,14.0,1987,OUT013,Tier 3,High,Supermarket Type1
160,Regular,54.763999999999996,1331.6,FOOD,0.04192285,14.0,1987,OUT013,Tier 3,High,Supermarket Type1
161,Low Fat,97.0094,1808.9786,FOOD,0.077367431,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
162,Low Fat,222.5456,3315.684,FOOD,0.045838211,5.905,2009,OUT018,Tier 3,Medium,Supermarket Type2
163,Low Fat,114.2518,2618.5914,Drinks,0.071077939,7.27,1997,OUT046,Tier 1,Small,Supermarket Type1
164,Regular,214.55599999999998,2769.728,FOOD,0.09465987099999999,6.155,1997,OUT046,Tier 1,Small,Supermarket Type1
165,Regular,233.4958,5375.0034,Drinks,0.077608838,19.5,2007,OUT017,Tier 2,Medium,Supermarket Type1
166,Low Fat,216.8824,2838.9712,FOOD,0.021327477,15.2,2007,OUT017,Tier 2,Medium,Supermarket Type1
167,Regular,125.0046,1743.0644,FOOD,0.042485444000000004,12.15,2009,OUT018,Tier 3,Medium,Supermarket Type2
168,Low Fat,198.8084,5555.4352,Non-Consumable,0.025578526,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
169,Low Fat,61.9194,619.194,FOOD,0.048980800000000005,12.6,2009,OUT018,Tier 3,Medium,Supermarket Type2
170,Low Fat,164.821,2120.573,Non-Consumable,0.019471688,14.5,2004,OUT035,Tier 2,Small,Supermarket Type1
171,Low Fat,173.0738,3823.0236,FOOD,0.122918852,16.6,2007,OUT017,Tier 2,Medium,Supermarket Type1
172,Regular,151.4366,1360.2294,FOOD,0.057373797000000004,11.8,1987,OUT013,Tier 3,High,Supermarket Type1
173,Regular,178.8318,3969.4996,FOOD,0.044155597000000005,13.1,1987,OUT013,Tier 3,High,Supermarket Type1
174,Low Fat,115.1834,345.5502,FOOD,0.291865402,17.7,1998,OUT010,Tier 3,Medium,Grocery Store
175,Low Fat,196.5794,585.2382,FOOD,0.06595278007399345,17.85,1998,OUT010,Tier 3,Medium,Grocery Store
176,Regular,92.6804,1010.6844,FOOD,0.064750025,12.3,2002,OUT045,Tier 2,Medium,Supermarket Type1
177,Low Fat,81.4618,161.1236,Non-Consumable,0.098312421,11.8,1998,OUT010,Tier 3,Medium,Grocery Store
178,Regular,42.1112,42.6112,Drinks,0.191013663,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
179,Low Fat,157.4604,3010.7476,FOOD,0.176573035,11.1,2002,OUT045,Tier 2,Medium,Supermarket Type1
180,Regular,153.0656,6024.1584,FOOD,0.060134441,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
181,Low Fat,198.1426,988.7130000000001,FOOD,0.0072946519999999996,11.3,2002,OUT045,Tier 2,Medium,Supermarket Type1
182,Low Fat,117.944,239.688,Non-Consumable,0.128478462,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
183,Regular,112.8176,1374.2112,FOOD,0.075107656,5.75,1987,OUT013,Tier 3,High,Supermarket Type1
184,Regular,226.8062,4739.8302,FOOD,0.049381405999999996,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
185,Regular,100.0016,1012.0160000000001,FOOD,0.045165795999999994,11.35,2009,OUT018,Tier 3,Medium,Supermarket Type2
186,Regular,165.7526,657.8104,FOOD,0.09415375,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
187,Low Fat,130.431,778.9860000000001,Non-Consumable,0.028907832,14.0,1999,OUT049,Tier 1,Medium,Supermarket Type1
188,Regular,179.766,2336.958,FOOD,0.018059621,19.75,2002,OUT045,Tier 2,Medium,Supermarket Type1
189,Low Fat,85.0882,2233.0932,Non-Consumable,0.09043609400000001,6.525,1999,OUT049,Tier 1,Medium,Supermarket Type1
190,Low Fat,103.9648,1661.8368,FOOD,0.146399712,10.3,1999,OUT049,Tier 1,Medium,Supermarket Type1
191,Regular,264.7568,4745.8224,FOOD,0.07426435599999999,5.78,1999,OUT049,Tier 1,Medium,Supermarket Type1
192,Regular,164.1526,3124.5994,FOOD,0.050186725999999994,11.85,2002,OUT045,Tier 2,Medium,Supermarket Type1
193,Low Fat,50.1324,467.3916,FOOD,0.020631654,16.35,2009,OUT018,Tier 3,Medium,Supermarket Type2
194,Low Fat,182.5976,5070.7328,Non-Consumable,0.01561108,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
195,Low Fat,37.6164,540.6296,FOOD,0.041395445,10.5,1997,OUT046,Tier 1,Small,Supermarket Type1
196,Regular,48.0718,992.7078,FOOD,0.097313129,19.0,1997,OUT046,Tier 1,Small,Supermarket Type1
197,Low Fat,238.8538,6008.845,Non-Consumable,0.059582996,14.6,1999,OUT049,Tier 1,Medium,Supermarket Type1
198,Regular,62.9194,2105.2596,FOOD,0.09866365199999999,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
199,Regular,232.63,5359.69,FOOD,0.101338651,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
200,Low Fat,104.62799999999999,745.696,Non-Consumable,0.052146455999999994,18.75,2002,OUT045,Tier 2,Medium,Supermarket Type1
201,Regular,161.8868,3275.736,FOOD,0.041764487,5.26,2004,OUT035,Tier 2,Small,Supermarket Type1
202,Low Fat,140.2154,1701.7848,FOOD,0.054344185999999996,18.25,2002,OUT045,Tier 2,Medium,Supermarket Type1
203,Low Fat,177.937,6704.606,FOOD,0.07836248400000001,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
204,Low Fat,242.7512,4119.9704,FOOD,0.052339069,15.1,1997,OUT046,Tier 1,Small,Supermarket Type1
205,Regular,81.5934,327.5736,FOOD,0.042464962,15.5,1998,OUT010,Tier 3,Medium,Grocery Store
206,Low Fat,45.7402,780.9834,FOOD,0.06573288299999999,13.65,1999,OUT049,Tier 1,Medium,Supermarket Type1
207,Low Fat,189.3846,3630.6074,Drinks,0.023625114,16.1,2002,OUT045,Tier 2,Medium,Supermarket Type1
208,Regular,107.3622,317.5866,FOOD,0.051643608,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
209,Low Fat,39.7164,231.6984,FOOD,0.165694219,12.85,1998,OUT010,Tier 3,Medium,Grocery Store
210,Low Fat,32.99,133.16,Drinks,0.041878397000000005,9.5,2004,OUT035,Tier 2,Small,Supermarket Type1
211,Low Fat,245.1802,5650.6446,Drinks,0.058091482,13.8,2004,OUT035,Tier 2,Small,Supermarket Type1
212,Regular,263.7568,2636.5679999999998,FOOD,0.06595278007399345,5.78,2007,OUT017,Tier 2,Medium,Supermarket Type1
213,Low Fat,96.0726,1272.3438,Non-Consumable,0.026903714,19.7,2002,OUT045,Tier 2,Medium,Supermarket Type1
214,Low Fat,161.5552,324.9104,Non-Consumable,0.06595278007399345,14.65,1998,OUT010,Tier 3,Medium,Grocery Store
215,Regular,130.0626,131.1626,FOOD,0.150554711,6.67,1998,OUT010,Tier 3,Medium,Grocery Store
216,Regular,131.2968,260.9936,FOOD,0.06595278007399345,6.11,1998,OUT010,Tier 3,Medium,Grocery Store
217,Regular,260.0936,260.9936,FOOD,0.13497562800000001,13.65,1998,OUT010,Tier 3,Medium,Grocery Store
218,Low Fat,160.6578,3690.5294,FOOD,0.15616879,17.2,1987,OUT013,Tier 3,High,Supermarket Type1
219,Low Fat,40.2822,1139.1838,FOOD,0.06595278007399345,6.32,2004,OUT035,Tier 2,Small,Supermarket Type1
220,Regular,52.9298,1995.4026,FOOD,0.133700752,4.88,1999,OUT049,Tier 1,Medium,Supermarket Type1
221,Regular,88.3514,1416.8224,FOOD,0.115119905,5.425,2007,OUT017,Tier 2,Medium,Supermarket Type1
222,Regular,37.2506,265.6542,FOOD,0.11003099699999999,15.85,1997,OUT046,Tier 1,Small,Supermarket Type1
223,Low Fat,121.7072,3552.7088,FOOD,0.051038045,7.5,2007,OUT017,Tier 2,Medium,Supermarket Type1
